,train,test
waffles,800,200
apple_pie,800,200
baby_back_ribs,800,200
baklava,800,200
beef_carpaccio,800,200
beef_tartare,800,200
beet_salad,800,200
beignets,800,200
bibimbap,800,200
bread_pudding,800,200
breakfast_burrito,800,200
bruschetta,800,200
caesar_salad,800,200
cannoli,800,200
caprese_salad,800,200
carrot_cake,800,200
ceviche,800,200
cheese_plate,800,200
cheesecake,800,200
chicken_curry,800,200
chicken_quesadilla,800,200
chicken_wings,800,200
chocolate_cake,800,200
chocolate_mousse,800,200
churros,800,200
clam_chowder,800,200
club_sandwich,800,200
crab_cakes,800,200
creme_brulee,800,200
croque_madame,800,200
cup_cakes,800,200
deviled_eggs,800,200
donuts,800,200
dumplings,800,200
edamame,800,200
eggs_benedict,800,200
escargots,800,200
falafel,800,200
filet_mignon,800,200
fish_and_chips,800,200
foie_gras,800,200
french_fries,800,200
french_onion_soup,800,200
french_toast,800,200
fried_calamari,800,200
fried_rice,800,200
frozen_yogurt,800,200
garlic_bread,800,200
gnocchi,800,200
greek_salad,800,200
grilled_cheese_sandwich,800,200
grilled_salmon,800,200
guacamole,800,200
gyoza,800,200
hamburger,800,200
hot_and_sour_soup,800,200
hot_dog,800,200
huevos_rancheros,800,200
hummus,800,200
ice_cream,800,200
lasagna,800,200
lobster_bisque,800,200
lobster_roll_sandwich,800,200
macaroni_and_cheese,800,200
macarons,800,200
miso_soup,800,200
mussels,800,200
nachos,800,200
omelette,800,200
onion_rings,800,200
oysters,800,200
pad_thai,800,200
paella,800,200
pancakes,800,200
panna_cotta,800,200
peking_duck,800,200
pho,800,200
pizza,800,200
pork_chop,800,200
poutine,800,200
prime_rib,800,200
pulled_pork_sandwich,800,200
ramen,800,200
ravioli,800,200
red_velvet_cake,800,200
risotto,800,200
samosa,800,200
sashimi,800,200
scallops,800,200
seaweed_salad,800,200
shrimp_and_grits,800,200
spaghetti_bolognese,800,200
spaghetti_carbonara,800,200
spring_rolls,800,200
steak,800,200
strawberry_shortcake,800,200
sushi,800,200
tacos,800,200
takoyaki,800,200
tiramisu,800,200
tuna_tartare,800,200
